"Index","Open","High","Low","Close","Volume"
1973-01-06,1.1234,1.1272,1.1164,1.118,53142
1973-01-07,1.1218,1.1238,1.118,1.1188,44694
1973-01-08,1.1314,1.1488,1.129,1.1464,75678
1973-01-09,1.168,1.172,1.1516,1.1574,58626
1973-01-10,1.14,1.1526,1.1364,1.1524,66826
1973-01-11,1.166,1.178,1.1574,1.1696,96710
1973-01-12,1.1742,1.183,1.172,1.1774,65720
1973-01-13,1.18,1.2022,1.1752,1.201,91792
1973-01-14,1.183,1.1868,1.1686,1.1694,69048
1973-01-15,1.1602,1.1748,1.1586,1.1728,69358
1973-01-16,1.1786,1.1818,1.1696,1.1712,59584
1973-01-17,1.1704,1.1734,1.167,1.1698,39954
1973-01-18,1.161,1.1618,1.144,1.146,51980
1973-01-19,1.1376,1.1472,1.135,1.1456,20542
1973-01-20,1.1496,1.1508,1.14,1.1486,6288
1973-01-21,1.1466,1.1478,1.1396,1.1402,6306
1973-01-22,1.1328,1.167,1.126,1.164,6156
1973-01-23,1.1562,1.174,1.1556,1.1684,9768
1973-01-24,1.1664,1.168,1.16,1.1654,3650
1973-01-25,1.18,1.1804,1.166,1.1672,51510
1973-01-26,1.1658,1.191,1.1658,1.1894,59684
1973-01-27,1.1916,1.2,1.1826,1.196,65166
1973-01-28,1.2016,1.2146,1.1978,1.2102,55670
1973-01-29,1.1972,1.199,1.1874,1.1924,44858
1973-01-30,1.1938,1.2032,1.1888,1.1906,44288
1973-01-31,1.1874,1.1954,1.187,1.1922,37750
1973-02-01,1.203,1.208,1.1908,1.1926,49760
1973-02-02,1.2002,1.204,1.1934,1.2014,36160
1973-02-03,1.2264,1.2476,1.2248,1.2464,53034
1973-02-04,1.2378,1.2416,1.2338,1.2406,40428
1973-02-05,1.2382,1.25,1.234,1.2466,46678
1973-02-06,1.257,1.2602,1.2504,1.2534,42792
1973-02-07,1.24,1.245,1.2376,1.2396,43976
1973-02-08,1.2388,1.2468,1.2384,1.2434,36138
1973-02-09,1.2426,1.2444,1.2304,1.2326,45228
1973-02-10,1.23,1.237,1.215,1.2158,57732
1973-02-11,1.2158,1.222,1.212,1.2198,34874
1973-02-12,1.2044,1.2266,1.204,1.2222,52180
1973-02-13,1.2204,1.223,1.2104,1.2108,40778
1973-02-14,1.2156,1.2238,1.2136,1.218,42400
1973-02-15,1.226,1.2286,1.2164,1.2176,33368
1973-02-16,1.2202,1.2294,1.218,1.2262,35898
1973-02-17,1.231,1.2394,1.2266,1.2376,41660
1973-02-18,1.2404,1.2498,1.2378,1.2484,46494
1973-02-19,1.2476,1.2492,1.24,1.2408,40502
1973-02-20,1.241,1.2416,1.2312,1.2402,34630
1973-02-21,1.2476,1.2504,1.2436,1.2484,37520
1973-02-22,1.2454,1.264,1.2424,1.2626,52678
1973-02-23,1.2582,1.2614,1.253,1.2538,39770
1973-02-24,1.2552,1.2564,1.239,1.2428,45096
1973-02-25,1.2426,1.2428,1.219,1.2194,63538
1973-02-26,1.2152,1.225,1.214,1.2162,53754
1973-02-27,1.2296,1.2332,1.226,1.2298,30640
1973-02-28,1.225,1.23,1.2216,1.2282,33420
1973-03-01,1.2322,1.233,1.2224,1.2236,35506
1973-03-02,1.2062,1.2114,1.1924,1.195,66934
1973-03-03,1.1954,1.1988,1.1894,1.19,55592
1973-03-04,1.1938,1.1998,1.191,1.1982,43520
1973-03-05,1.1958,1.2014,1.1924,1.1986,30016
1973-03-06,1.1882,1.1882,1.177,1.1824,43042
1973-03-07,1.1832,1.1892,1.182,1.1864,39134
1973-03-08,1.1854,1.1916,1.1844,1.1874,23504
1973-03-09,1.1866,1.1994,1.185,1.1976,42682
1973-03-10,1.1926,1.1946,1.186,1.1898,41060
1973-03-11,1.1844,1.1902,1.1814,1.1886,44732
1973-03-12,1.1844,1.1904,1.1838,1.1844,27082
1973-03-13,1.1822,1.187,1.1808,1.1834,24192
1973-03-14,1.1948,1.204,1.1904,1.1984,61084
1973-03-15,1.199,1.2026,1.1872,1.1884,50910
1973-03-16,1.1838,1.1876,1.1756,1.1788,42944
1973-03-17,1.1778,1.1786,1.1688,1.172,47656
1973-03-18,1.1652,1.1686,1.163,1.166,34890
1973-03-19,1.1724,1.175,1.1694,1.1708,31482
1973-03-20,1.1644,1.1702,1.163,1.1696,32320
1973-03-21,1.1696,1.1732,1.1616,1.162,39652
1973-03-22,1.1618,1.1672,1.1618,1.165,24618
1973-03-23,1.17,1.172,1.1646,1.1664,17448
1973-03-24,1.1704,1.179,1.1686,1.1772,9746
1973-03-25,1.1796,1.1816,1.1706,1.1732,6274
1973-03-26,1.173,1.196,1.1556,1.186,7292
1973-03-27,1.177,1.18,1.175,1.1796,4126
1973-03-28,1.1842,1.1898,1.1834,1.187,44892
1973-03-29,1.1904,1.1968,1.1904,1.1938,37358
1973-03-30,1.1916,1.1928,1.1882,1.1908,28340
1973-03-31,1.191,1.194,1.1836,1.185,32614
1973-04-01,1.2146,1.2182,1.2104,1.2176,68412
1973-04-02,1.2128,1.226,1.2126,1.223,59660
1973-04-03,1.2312,1.2358,1.2272,1.2298,48164
1973-04-04,1.2246,1.2316,1.2238,1.2304,28888
1973-04-05,1.2404,1.2434,1.233,1.2358,36368
1973-04-06,1.2344,1.2372,1.2294,1.2322,29110
1973-04-07,1.2322,1.2336,1.2238,1.2274,34898
1973-04-08,1.2334,1.2356,1.23,1.2318,32130
1973-04-09,1.2336,1.2432,1.2234,1.2254,55472
1973-04-10,1.2124,1.2276,1.212,1.2204,66208
1973-04-11,1.2178,1.2202,1.2146,1.2152,10510
1973-04-12,1.2172,1.2186,1.2002,1.2034,57120
1973-04-13,1.1968,1.198,1.1902,1.1944,55834
1973-04-14,1.1978,1.2008,1.194,1.1966,44562
1973-04-15,1.1974,1.2096,1.189,1.2086,47068
1973-04-16,1.2386,1.2414,1.219,1.2272,83144
1973-04-17,1.2254,1.24,1.2224,1.2238,60986
1973-04-18,1.2356,1.24,1.228,1.2328,43590
1973-04-19,1.2432,1.25,1.2322,1.2366,56090
1973-04-20,1.234,1.235,1.2286,1.2308,36094
