        lookbackS threshold nFast nSlow nSig nHold inventoryLimits  PD Ratio
 [116,]        14        20    12    26    9     3             100      0.41
 [117,]        14        22    12    26    9     3              90      0.41
 [118,]        14        22    12    26    9     3             100      0.41
 [119,]        14        24    12    26    9     3              90      0.41
 [120,]        14        24    12    26    9     3             100      0.41
 [121,]        14        32    12    26    9     1              40      0.41
 [122,]        14        34    12    26    9     1              40      0.41
 [123,]        14        44    12    26    9     3             200      0.41
 [124,]        14        36    12    26    9     0              40      0.40
 [125,]        14        38    12    26    9     0              80      0.40
 [126,]        14        42    12    26    9     0             160      0.40
 [127,]        14        14    12    26    9     1              40      0.39
 [128,]        14        16    12    26    9     1              40      0.39
 [129,]        14        18    12    26    9     1              40      0.39
 [130,]        14        20    12    26    9     1              40      0.39
 [131,]        14        22    12    26    9     1              40      0.39
 [132,]        14        24    12    26    9     1              40      0.39
 [133,]        14        26    12    26    9     1              40      0.39
 [134,]        14        28    12    26    9     1              40      0.39
 [135,]        14        30    12    26    9     1              40      0.39
 [136,]        14        34    12    26    9     2             100      0.39
 [137,]        14        36    12    26    9     1              40      0.39
 [138,]        14        40    12    26    9     2              90      0.39
 [139,]        14        40    12    26    9     2             100      0.39
 [140,]        14        44    12    26    9     2              90      0.39
 [141,]        14        32    12    26    9     2             100      0.38
 [142,]        14        34    12    26    9     0              40      0.38
 [143,]        14        36    12    26    9     2              80      0.38
 [144,]        14        38    12    26    9     0              40      0.38
 [145,]        14        38    12    26    9     2              80      0.38
 [146,]        14        40    12    26    9     1             190      0.38
 [147,]        14        42    12    26    9     1             180      0.38
 [148,]        14        46    12    26    9     0              80      0.38
 [149,]        14        10    12    26    9     1              40      0.37
 [150,]        14        12    12    26    9     0              40      0.37
 [151,]        14        12    12    26    9     1              40      0.37
 [152,]        14        14    12    26    9     0              40      0.37
 [153,]        14        16    12    26    9     0              40      0.37
 [154,]        14        18    12    26    9     0              40      0.37
 [155,]        14        20    12    26    9     0              40      0.37
 [156,]        14        22    12    26    9     0              40      0.37
 [157,]        14        24    12    26    9     0              40      0.37
 [158,]        14        26    12    26    9     0              40      0.37
 [159,]        14        28    12    26    9     0              40      0.37
 [160,]        14        30    12    26    9     0              40      0.37
 [161,]        14        32    12    26    9     0              40      0.37
 [162,]        14        36    12    26    9     1             160      0.37
 [163,]        14        10    12    26    9     0              40      0.36
 [164,]        14        40    12    26    9     2             170      0.36
 [165,]        14        42    12    26    9     2              50      0.36
 [166,]        14        10    12    26    9     3             170      0.35
 [167,]        14        32    12    26    9     2             110      0.35
 [168,]        14        34    12    26    9     2             110      0.35
 [169,]        14        12    12    26    9     3             170      0.34
 [170,]        14        14    12    26    9     3             170      0.34
 [171,]        14        16    12    26    9     3             170      0.34
 [172,]        14        18    12    26    9     3             170      0.34
 [173,]        14        42    12    26    9     2              40      0.34
 [174,]        14        42    12    26    9     2              80      0.34
 [175,]        14        26    12    26    9     3             170      0.33
